priority,page_group,page_or_project,route,source_file,copy_section,copy_type,current_draft,what_i_need_from_you,example_answer,your_answer,codex_rewrite_notes
P1,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Concept section,Case study body,"The work explores abstract composition, soft materiality, and controlled color to create pieces that feel quiet but memorable.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,System section,Case study body,"The project can include print editions, poster mockups, framing studies, colorways, and production notes.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Outcome section,Case study body,This case study should show the print work as both a designed system and a set of standalone visual objects.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Cover image alt text,Accessibility copy,Framed artwork displayed in a modern interior.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 01 caption,Image caption,"Print studies explore rhythm, cropping, and material.","What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 01 alt text,Accessibility copy,Printed materials arranged on a tabletop.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 02 caption,Image caption,Abstract forms become a source for poster compositions.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 02 alt text,Accessibility copy,Geometric abstract surface with light and shadow.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 03 caption,Image caption,Paper finish is part of the final visual experience.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 03 alt text,Accessibility copy,Paper textures and printed materials on a workspace.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 04 caption,Image caption,Landscape references are translated into graphic pacing.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 04 alt text,Accessibility copy,Landscape with road and atmospheric light.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 05 caption,Image caption,The series is designed to live in domestic spaces.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Gallery 05 alt text,Accessibility copy,Framed artwork hanging in an interior space.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Project title / naming,Visible headline,Identity Studies Archive,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Hero dek,Visible body copy,"A collection of brand identity case studies showing marks, type systems, visual language, and applied touchpoints.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Card summary,Visible card copy,"A grouped identity case-study archive for marks, visual systems, and applied brand directions.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Role,Project fact,Art direction and graphic design,Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Client / context,Project fact,Selected case studies,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Location,Project fact,Hawaii / Remote,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Brief section,Case study body,Create a flexible page for multiple identity case studies that may not each need a full standalone product page.,"What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Concept section,Case study body,"The archive treats identity work as a system of decisions: mark, type, color, imagery, and application.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,System section,Case study body,"This page can hold several brand studies with short explanations, image sets, and application examples.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Outcome section,Case study body,This project page should give smaller identity projects a strong place in the portfolio without overextending them.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Cover image alt text,Accessibility copy,Design tools and sketches arranged on a workspace.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 01 caption,Image caption,Identity studies begin with visual language and context.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 01 alt text,Accessibility copy,Editorial design materials on a table.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 02 caption,Image caption,Printed applications test the strength of each system.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 02 alt text,Accessibility copy,Printed paper samples and graphic layouts.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 03 caption,Image caption,Pattern and geometry help extend marks into systems.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 03 alt text,Accessibility copy,Geometric detail with abstract light and shadow.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 04 caption,Image caption,Digital applications show how systems behave on screen.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 04 alt text,Accessibility copy,Desk with computer and notebook for digital design work.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 05 caption,Image caption,"The archive can hold sketches, rules, and final touchpoints.","What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Identity Studies Archive,/work/identity-studies-archive/,src/content/projects/identity-studies-archive.mdx,Gallery 05 alt text,Accessibility copy,Printed materials and texture on a workspace.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Project title / naming,Visible headline,Shigeru Ban Architecture Study,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Hero dek,Visible body copy,"An editorial case study exploring architecture, material restraint, humanitarian design, and exhibition-style storytelling.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Card summary,Visible card copy,A self-initiated architecture and editorial design study inspired by Shigeru Ban's material and humanitarian approach.,Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Role,Project fact,"Art direction, identity, and editorial design",Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Client / context,Project fact,Self-initiated case study,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Location,Project fact,Concept,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Brief section,Case study body,"Create an editorial case study that explores Shigeru Ban's architecture through research, material language, and exhibition-style pacing.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Concept section,Case study body,"The project uses restraint, grid structure, and tactile material references to communicate architecture as both form and social response.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,System section,Case study body,"This page can include research spreads, exhibition panels, timeline modules, typographic studies, and architectural image sequencing.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Outcome section,Case study body,"This is presented as a self-initiated design study focused on editorial pacing, research structure, and visual interpretation.","What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Cover image alt text,Accessibility copy,Modern architectural structure with warm wood tones.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 01 caption,Image caption,"Architecture is treated through structure, material, and restraint.","What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 01 alt text,Accessibility copy,Architectural exterior with clean geometric forms.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 02 caption,Image caption,Spatial rhythm informs the editorial grid.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 02 alt text,Accessibility copy,Minimal architectural space with warm light.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 03 caption,Image caption,Detail studies create chapter pacing.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 03 alt text,Accessibility copy,Geometric architecture detail with light and shadow.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 04 caption,Image caption,Context and environment frame the design story.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 04 alt text,Accessibility copy,Landscape route through hills.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 05 caption,Image caption,The case study uses exhibition logic to guide the viewer.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Shigeru Ban Architecture Study,/work/shigeru-ban-architecture-study/,src/content/projects/shigeru-ban-architecture-study.mdx,Gallery 05 alt text,Accessibility copy,Modern interior workspace with architectural lines.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Project title / naming,Visible headline,Toriyama Early Works Exhibition,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Hero dek,Visible body copy,"An exhibition identity concept for early creative work, built around editorial pacing, archival energy, and graphic storytelling.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Card summary,Visible card copy,A self-initiated exhibition identity case study inspired by Akira Toriyama's early creative energy and archival storytelling.,Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Role,Project fact,"Art direction, identity, and editorial design",Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Client / context,Project fact,Self-initiated case study,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Location,Project fact,Concept,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Brief section,Case study body,"Create an exhibition identity concept for early works, using editorial systems, posters, and archival pacing.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Concept section,Case study body,"The direction focuses on energy, sequence, and visual storytelling while avoiding direct use of copyrighted character artwork in this scaffold.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,System section,Case study body,"The project can include poster concepts, exhibition panels, publication spreads, wayfinding moments, and archive-style metadata.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Outcome section,Case study body,"This is presented as a self-initiated exhibition concept focused on archival energy, editorial pacing, and graphic storytelling.","What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Cover image alt text,Accessibility copy,Exhibition gallery wall with framed artwork.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 01 caption,Image caption,The exhibition system uses archival pacing and clear sequencing.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 01 alt text,Accessibility copy,Museum gallery with framed works on a wall.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 02 caption,Image caption,Publication spreads carry the research and visual context.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 02 alt text,Accessibility copy,Printed editorial materials arranged on a table.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 03 caption,Image caption,Poster and catalog materials build the exhibition language.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 03 alt text,Accessibility copy,Printed paper textures and design materials.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 04 caption,Image caption,"The visual direction focuses on journey, energy, and narrative.","What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 04 alt text,Accessibility copy,Landscape route with cinematic atmosphere.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 05 caption,Image caption,Graphic forms support movement without using copyrighted artwork.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Toriyama Early Works Exhibition,/work/akira-toriyama-early-works/,src/content/projects/akira-toriyama-early-works.mdx,Gallery 05 alt text,Accessibility copy,Abstract geometric surface with light and shadow.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
